source,target
/strategies/ecosystem/alliances,/strategies/accelerators/cooperation
/strategies/ecosystem/alliances,/strategies/markets/standards-game
/strategies/ecosystem/alliances,/strategies/attacking/centre-of-gravity
/strategies/accelerators/industrial-policy,/strategies/user-perception/lobbying
/strategies/accelerators/industrial-policy,/strategies/accelerators/market-enablement
/strategies/accelerators/industrial-policy,/strategies/markets/standards-game
/strategies/accelerators/cooperation,/strategies/markets/standards-game
